# Syntax Of Redoc

## Overview

Redoc is a markup language, all special things are in `[]`.

##
postfix expression                      后缀表达式
postfix increment operator              后置增量运算符
potential scope                         潜在作用域
potentially concurrent                  潜在并发
potentially evaluated                   潜在求值的
potentially throwing                    潜在抛出异常的
prefix                                  前缀
prefix decrement operator               前置减量运算符
prefix increment operator               前置增量运算符
preprocess                              预处理
preprocessing directive                 预处理指令
primary expression                      初等表达式
private                                 私有
program                                 程序
promise                                 承诺
protected                               受保护
prototype                               原型
prvalue                                 纯右值
pseudo destructor call                  伪析构函数调用
public                                  公用，公开
punctuator                              标点，标点符号
pure virtual function                   纯虚函数
purview                                 视野
qualification                           限定，限定性
qualified name                          限定名
qualifier                               限定符
radix point                             小数点
range                                   范围
range-based for statement               基于范围的 for 语句
raw string literal                      原始字符串字面量
reachable                               可达的
reaching scope                          可达作用域
recursive function call                 递归函数调用
reference                               引用
reference declarator                    引用声明符
reference to T                          T 的引用，指代 T 的引用
reference to cv T                       cv T 的引用
region                                  区，区域
reinterpret cast                        重解释强制转换
relational operator                     关系运算符
relaxed                                 宽松的
relaxed atomic operation                宽松原子性操作
relaxed pointer safety                  宽松指针安全性
release                                 释放
release sequence                        释放序列
remainder operator                      求余运算符
representation                          表示
requirement                             规定，要求
restriction                             限制，要求
resumption                              恢复
return                                  返回
return statement                        return 语句，返回语句
return type                             返回类型
return value                            返回值
right shift operator                    右移运算符
rounding                                舍入
run                                     运行
runtime type identification             运行时类型标识
rvalue                                  右值
safely-derived pointer                  安全衍生指针
scalar                                  标量
scalar type                             标量类型
scope                                   作用域，范围
scope resolution operator               作用域解析运算符
scoped enumeration                      有作用域枚举
scoped enumerator                       有作用域枚举符
selection statement                     选择语句
semantics                               语义
sequence                                序列
sequenced after                         按顺序晚于
sequenced before                        按顺序早于
sequential consistency                  顺序一致性
shift operator                          移位运算符
side effect                             副作用
signal                                  信号
signal handler                          信号处理函数
signature                               签名
signed                                  有符号
signed integer type                     有符号整数类型
similar type                            相似类型
sizeof operator                         sizeof 运算符
source character set                    源字符集
source file                             源文件
specialize                              特化
specialization                          特化式，特例
specifier                               说明符
standard conversion sequence            标准转换序列
standard-layout class                   标准布局类
standard-layout type                    标准布局类型
standard integer type                   标准整数类型
standard signed integer type            标准有符号整数类型
standard unsigned integer type          标准无符号整数类型
statement                               语句
static                                  静态
static_assert declaration               static_assert 声明式
static assertion                        静态断言
static cast                             静态强制转换
static initialization                   静态初始化
static specifier                        static 说明符
static storage duration                 静态存储期
storage                                 存储
storage class specifier                 存储类说明符
storage duration                        存储期
storage management                      存储管理
strict                                  严格的
